Whisky Name;Floral;Früchte;Holz;Komplexität;Malzig;Süße;Torf;Trockenfrüchte;Abgang
Glenallachie 8 Jahre;0;7;6;7;0;7;0;7;6
Dalmore Cigar Malt;0;6;9;8;0;8;0;6;7
Bunnahabhain Staoisha 7 Jahre 2014 / 2022 Signatory Vintage;0;0;8;7;0;0;6;0;8
Bruichladdich 21 Jahre Cuvee 382 La Berenice;8;7;6;9;0;7;0;7;8
Glenallachie 12 Jahre;0;8;7;8;0;8;0;6;7
Compass Box, Glasgow Blend;0;5;5;8;0;5;0;0;7
Jack Daniel's Single Barrel Select;0;7;7;7;8;7;0;0;7
Bruichladdich Port Charlotte Islay Barley 2011;0;6;7;8;0;6;8;0;8
St. Kilian Four;0;8;6;7;0;8;6;0;6
Best Dram Miltonduff 11 Jahre 2009 / 2020 1st Fill Oloroso Sherry Finish;0;7;8;7;0;7;0;7;8
Rock Oyster Douglas Laing;0;6;8;7;0;6;8;7;8
Slyrs 12 Jahre 2005 / 2017;7;6;7;7;7;6;0;0;7
Mars II 2007 / 2020 Scotch Universe;5;7;8;8;5;7;5;5;8
MacDuff 2009 / 2021 Summer 2021 Single Cask Seasons;0;7;8;7;0;7;0;0;8
St. Kilian Six;0;6;7;8;0;6;7;0;7
Motörhead Whisky, Limited Edition!;0;0;8;7;0;7;8;0;8
Sea Shepherd Navy Strength, Islay Single Malt Whisky;0;6;7;8;0;6;9;0;7
Map of Islay, Islay Single Malt Whisky;0;7;8;7;0;7;8;0;8
Millstone 6 Jahre 2008 / 2015 Sherry Cask;0;7;8;7;0;7;0;8;8
Locke's 8 Jahre;0;6;7;8;0;6;0;0;7
Glenfarclas 12 Jahre;4;7;8;8;8;7;0;8;8
Glenfarclas 10 Jahre;4;7;8;7;7;7;0;8;7
Glen Elgin 12 Jahre;3;7;8;7;7;7;0;7;7
Edradour Ballechin 10 Jahre;2;6;8;7;7;6;8;6;7
Edradour 12 Jahre Caledonia Selection;3;6;8;8;7;6;0;6;7
Edradour 10 Jahre;2;5;8;7;7;6;8;6;7
Deanston 12 Jahre;2;6;8;7;7;6;0;7;7
GlenAllachie 2011 / 2022, Pedro Xímenez, Madeira & Port Cuvée Cask, Kirsch Exclusive;3;7;8;8;7;8;0;8;8
Finlaggan Original;1;5;8;7;7;5;9;5;7
Elements of Islay Peat;0;4;9;6;7;4;10;4;6
Dalwhinnie Distillers Edition 2006 / 2021;6;6;8;8;6;6;2;6;8
Dalwhinnie 15 Jahre;6;6;7;8;6;6;2;6;7
Cragganmore 12 Jahre;3;7;9;7;7;5;2;5;8
Tobermory 12 Jahre;3;6;8;7;6;6;4;6;7
Smokey Joe Islay Malt Scotch Whisky;0;4;9;7;7;4;10;4;7
Smokehead TotenkopfNeue Edition;0;2;8;6;6;2;10;0;6
Smokehead Extra Rare;0;2;8;7;7;2;10;0;7
Smokehead High Voltage Totenkopf;0;2;9;8;7;2;10;0;8
Talisker Port Ruighe;4;4;7;8;7;4;7;4;8
Talisker Skye;3;3;7;7;6;3;6;3;7
Old Pulteney 12 Jahre;2;5;7;6;5;4;1;6;6
Peat's Beast CS;2;2;6;7;3;3;10;3;8
Peat's Beast Peated Single Malt;3;3;5;5;3;3;10;4;7
Speyburn 10 Jahre;4;6;6;4;5;4;1;4;5
Talisker Storm;2;4;7;8;4;3;7;3;8
Wolfburn Northland;2;4;6;5;6;4;1;5;6
Wolfburn Langskip;3;5;7;6;5;4;2;6;6
Wolfburn Aurora;3;6;7;7;5;4;1;6;7
Bunnahabhain 12 Jahre;3;4;4;5;4;4;1;4;5
Bowmore 15 Jahre;3;5;6;6;5;4;4;6;6
Bowmore No.1;3;4;4;4;4;4;4;4;4
Sherry Cask Matured, Berry Bros & Rudd Classic Range;2;5;6;6;5;5;2;5;6
Black Bottle;2;3;3;4;4;4;2;4;4
Bruichladdich Islay Barley 2011;2;7;4;8;0;5;5;5;7
Bruichladdich Islay Barley 2013;2;7;4;8;0;5;5;5;7
Bruichladdich The Classic Laddie;2;7;4;8;0;5;0;5;7
Bunnahabhain Stiuireadair;2;6;4;7;0;4;2;4;6
Bowmore 25 Jahre;0;8;5;8;0;6;5;8;8
Bowmore 12 Jahre;2;6;4;6;0;6;4;6;6
Peated Cask Matured, Berry Bros & Rudd Classic Range;2;6;5;7;0;5;6;5;6
Islay Reserve, Berry Bros & Rudd Classic Range;2;7;4;7;0;5;4;5;6
Speyside Reserve, Berry Bros & Rudd Classic Range;4;6;4;6;0;6;0;5;5
Ardmore Port Wood Finish, 12 Jahre;2;6;5;7;0;5;4;5;6
Auchentoshan 12 Jahre;4;7;4;6;0;7;0;5;5
Amrut peated CS;2;7;5;8;0;5;7;5;7
Dailuaine 2012 / 2022 9 Jahre Signatory Vintage;2;6;4;7;7;4;0;4;7
Dalmore King Alexander III;2;7;5;9;0;7;0;7;8
Nikka from the barrel;2;7;4;8;0;5;5;5;7
Monkey Shoulder;4;7;3;6;7;7;0;5;5
Glencadam American Oak Reserve;2;7;4;6;7;6;0;4;6
Clyelish 14;4;7;5;8;0;7;2;7;8
Glenfiddich 15 Jahre Solera;3;7;3;7;0;7;0;6;6
Glenfarclas 105 cask strength 60% vol.;2;6;6;8;7;6;0;6;7
Glenfiddich 18 Jahre, Small Batch Reserve;3;7;4;8;0;7;0;6;7
Glenfiddich 12 Jahre Signature Reserve;3;7;3;6;0;7;0;5;5
Glenfiddich IPA;2;7;4;7;0;7;0;6;6
Glenfiddich Fire & Cane, No.4 der Experimental Serie;2;7;5;8;0;7;4;6;7
Glen Moray 12 Jahre;2;7;4;7;7;7;0;6;6
Glenfiddich Project XX;4;7;4;8;0;7;0;6;7
Glen Moray 18 Jahre, First Fill American Cask;3;7;5;8;4;7;0;7;7
Glen Grant 12 Jahre;2;7;3;6;7;7;0;5;5
Glenlossie 10 Jahre Flora & Fauna;3;7;4;8;6;6;0;6;6
Glen Moray 15 Jahre;3;7;4;8;7;7;0;6;7
Glenfarclas 15 Jahre;2;7;5;8;7;7;0;8;7
GlenAllachie 10 Jahre Chinquapin Oak Finish;2;7;6;7;6;7;0;7;6
Glenfarclas 25 Jahre;1;8;6;9;7;8;0;8;9
Glenfarclas 8 Jahre;1;7;4;6;7;7;0;7;5
Glengoyne 21 Jahre;2;7;6;8;5;6;0;6;8
Glenkinchie Distiller's Edition Amontillado Sherry Finish;3;7;5;7;5;5;1;5;7
Glenkinchie 12 Jahre;4;6;4;6;4;4;1;4;6
Talisker Distiller's Edition;2;6;6;8;5;5;4;4;8
Talisker 10 Jahre;2;6;6;7;5;5;4;4;7
Nikka 12 Jahre;2;7;5;7;6;6;2;6;7
Nc'Nean Organic Single Malt Whisky, Batch 14;6;7;5;7;6;6;2;6;7
Cragganmore Distiller's Edition;3;7;6;8;5;5;2;5;8
Campbeltown Loch by Springbank;2;5;4;5;4;4;1;4;5
Cutty Sark;2;6;3;4;4;4;1;4;4
Craigellachie 2008 / 2019 Signatory 10 Jahre Cask Strength;3;6;6;7;6;6;2;6;7
Compass Box Asyla;4;6;4;6;6;6;0;6;6
Bunnahabhain Toiteach;3;3;7;7;5;2;7;5;7
Bowmore Vault Edition 1;4;7;5;7;5;5;5;7;7
Bunnahabhain Staoisha 2013 / 2019 Very Cloudy;2;4;6;7;4;4;8;4;8
Blair Athol 2007 / 2020 Summer 2020 Signatory Single Cask;3;5;8;7;4;5;0;5;8
Bunnahabhain Ceobanach;2;5;8;7;4;4;8;4;8
Blair Athol 1997 / 2013 Gordon & MacPhail Connoisseurs Choice;3;6;6;7;4;6;0;6;8
Wolfburn Vibrant Stills 2015/2022;2;5;5;7;4;5;2;5;7
Miltonduff 10 Discovery Gordon MacPhail;4;5;7;8;4;5;0;4;7
Mannochmore 2008 / 2022 Signatory Vintage;2;6;6;7;4;6;0;6;8
Sea Shepherd, Islay Single Malt Whisky;2;4;5;7;4;5;8;5;8
Macallan 15 Jahre Double Cask;2;7;8;9;2;7;0;7;8
Loch Lomond 18 Jahre;2;6;8;8;4;6;4;6;8
Tullibardine 500 Sherry Finish;2;6;7;7;4;7;0;6;8
Connemara Peated Malt;2;4;6;7;4;4;8;4;8
Isle of Raasay Single Malt Whisky, Core Release No. 2;3;5;5;7;4;5;5;5;7
Starward Dolce, Australian Single Malt Whisky;3;6;6;7;4;8;0;6;7
Linkwood 12 Jahre 2009 / 2022 Signatory Un-Chillfiltered Collection;3;6;7;8;4;6;0;6;8
AnCnoc 12 Jahre;5;5;5;7;5;5;2;5;7
Maker's Mark;3;6;6;6;6;6;0;6;6
GlenAllachie 2008 / 2019 Single Cask 4419, Rioja Red Wine Barrel;3;5;8;8;4;5;0;5;8
GlenAllachie 12 Jahre PX Pedro Ximenez Finish, GlenAllachie Wood Finishes;4;6;6;8;6;6;0;6;8
Elements of Islay Br6;3;5;7;8;4;6;6;6;8
GlenAllachie 12 Jahre Madeira Wood Finish;4;7;8;8;6;7;0;7;8
Elements of Islay Ma2;4;5;8;9;4;5;4;5;9
Deerstalker 12 Jahre Single Malt;3;5;8;6;5;5;2;5;6
Deanston 2006 Fino Cask Finish;3;5;7;7;5;5;0;5;7
Edradour Vintage 19 Jahre 1999 / 2019 Bordeaux Cask Finish limitiert;3;7;8;9;4;7;0;7;9
Benrinnes 1995 / 2016 21 Jahre Signatory Vintage;4;7;8;9;6;7;2;7;9
BenRiach Cask Strength Batch 001;3;7;8;8;6;7;3;7;8
BenRiach Birnie Moss;2;4;6;6;4;4;6;4;6
BenRiach 10 Jahre Curiositas;3;5;8;7;5;5;5;5;7
Auchroisk 1996 / 2014 18 Jahre Gordon & MacPhail;2;7;8;8;5;7;0;7;8
Aultmore 2006/2018 Single Cask Seasons Summer 2018;4;6;8;7;6;6;2;6;7
Auchentoshan Blood Oak;3;6;8;7;6;7;0;6;7
Ardmore 11 Jahre 2010 / 2021 Winter 2021 Single Cask Seasons;2;6;8;8;6;6;3;6;8
Auchentoshan Virgin Oak;3;6;7;7;5;7;0;5;7
AnCnoc Rascan 11.1 PPM, Limited Edition;2;5;7;7;4;5;7;4;7
Amrut Spectrum;3;8;7;9;5;5;9;5;8
Ardbeg 12 Jahre, That Boutique-y Whisky Company Batch 23;1;5;9;8;5;3;10;5;9
AnCnoc Black Hill Reserve;5;7;5;7;4;4;4;4;6
Glenburgie 2002 / 2017 14 Jahre Gordon & MacPhail Whisky Hort;3;8;8;8;5;6;2;6;9
Glenburgie 2007 / 2015 8 Jahre Hepburn's Choice;4;7;6;6;4;4;2;4;6
Glenburgie 10 Jahre Gordon & MacPhail;6;8;7;7;7;6;0;6;7
Glenfarclas 21 Jahre;5;7;8;9;5;7;0;7;9
Glen Ord C&S Dram Collection 5 Jahre 2012 / 2018;5;7;7;7;6;7;0;7;7
Glenfarclas Sonderedition No.22 Thomas Reid;4;8;8;9;4;7;0;7;8
Glen Moray 10 Jahre Berry Bros Rudd, Caroni Rum Cask;4;7;6;7;6;7;0;7;7
Glencraig 1976 / 2013 36 Jahre Signatory CS;4;5;8;9;5;5;4;5;9
Glengoyne Cask Strength Batch 006;2;8;7;7;4;8;0;7;7
Dalmore Vintage 2001, 15 Jahre;2;7;8;7;6;7;2;7;8
Glenfarclas 2000 / 2015 Premium Edition;2;7;6;7;6;7;0;7;6
Bunnahabhain Staoisha Storm-Kelpie Sea Shepherd 7 Jahre;2;6;8;8;6;6;8;6;8
Longmorn 19 Jahre 1996 / 2015 CS Signatory;2;7;8;9;6;7;0;7;8
Glendronach 12;2;8;8;6;6;8;0;8;6
Bunnahabhain 9 Jahre 2012 / 2022 SV;4;5;6;7;5;5;0;5;6
Glenallachie 13 Jahre 2008/2022 SV;2;7;6;8;6;7;0;7;6
Ardmore 11 Jahre 2010 / 2021 Duncan Taylor;2;6;8;8;6;6;8;6;8
Ardmore Traditional Peated;2;5;7;8;6;5;8;5;8
The Cask Xperiment No.1 Spätburg. Barrique 2018/2022, 4J;2;8;6;7;5;8;0;7;6
Edradour Ballechin 11 Jahre Bourbon Cask Kirsch Exclusiv;2;5;8;8;6;5;8;5;8
Edradour Ballechin 10 Jahre 2010/2021 Bourbon Cask SFTC;2;5;8;8;6;5;8;5;8
ElsBurn 2013 / 2022 Italian Connection Exclusive Edition;2;7;6;7;6;7;0;7;6
Dalmore 15 Jahre;3;7;8;8;5;7;2;7;8
Nikka Pure Malt White;3;8;7;7;5;7;2;7;7
Mackmyra Intelligens AI:01;2;7;7;8;5;7;1;7;7
Mackmyra Special 02 Jubileumsutgavan Till Sommaren 2009;2;7;8;8;6;7;1;8;8
Mackmyra Special 07 Hope Autumn 2011;2;7;7;7;5;7;1;7;7
Port Askaig 12 Jahre 2007 / 2020 Spring Edition, limitiert;2;6;8;8;6;6;6;6;8
Port Askaig 15 Jahre Sherry Cask;2;7;8;8;6;7;5;7;8
Local Dealer Selection Port Dundas 1991 27 Jahre Signatory;2;8;7;8;5;7;1;8;8
Scapa 2005 / 2019 GM New Range;2;7;7;7;5;7;1;7;7
Macallan Quest;2;8;8;7;5;8;1;7;7
MOS, Lochindaal 2007 / 2019 Malts of Scotland MoS 19016;2;7;8;8;5;7;8;7;8
Highland Park 12 Jahre;2;7;8;8;6;7;4;8;8
Highland Park Harald;2;7;8;8;6;7;5;8;8
Tyrconnell Single Malt;2;8;6;7;5;8;1;7;7
Bruichladdich Port Charlotte Islay Barley 2013;2;7;7;8;6;7;8;7;8
Jura Seven Wood;3;6;8;7;6;7;2;7;7
Jura The Road;2;6;8;7;6;7;2;7;7
Bruichladdich Port Charlotte SC:01 2012;2;7;8;8;6;7;8;7;8
Jura Journey;2;6;7;6;6;6;1;6;6
Cardhu 18 Jahre;2;7;8;7;6;7;1;7;7
Jura 18 Jahre;2;7;8;8;6;7;2;7;7
Jura 12 Jahre;2;6;7;6;6;6;1;6;6
Glenrothes Whisky Maker's Cut;3;6;7;8;6;7;1;7;7
Jura 10 Jahre, neues Design;2;6;7;6;6;6;1;6;6
Glentauchers 8 Jahre Sansibar;2;7;8;7;6;7;1;7;7
Johnnie Walker Green Label 15 Jahre;4;6;5;7;6;5;2;5;6
Knockando 12 Jahre;4;6;4;5;6;5;1;4;5
Kilchoman Sanaig very dark;2;4;7;6;5;3;8;4;7
Johnnie Walker Gold Label Reserve;3;6;4;5;6;6;2;5;6
Knockando 18 Jahre Slow Matured;3;6;5;6;6;6;1;5;6
Toki;4;5;4;5;5;5;2;3;5
Lagavulin 8 Jahre;2;2;9;7;5;2;9;4;8
The Chita Suntory;6;7;2;5;6;6;0;3;6
Laphroaig 10 Jahre;2;2;9;8;5;2;10;4;9
Laphroaig Quarter Cask;2;2;9;8;5;3;10;4;9
Laphroaig Lore;1;4;8;9;6;4;10;4;9
Laphroaig Select;2;4;6;7;5;4;8;3;7
Michter's US 1 Small Batch Kentucky Straight;0;6;6;7;6;5;0;2;7
Wild Turkey 101 Kentucky Straight Rye;1;5;7;8;5;4;0;2;8
Cardhu 15 Jahre;3;6;7;8;6;7;0;2;8
Bruichladdich Port Charlotte 10 Jahre 2. Ed.;2;6;7;8;6;6;8;3;8
Compass Box, Hedonism;3;8;7;9;3;8;0;9;8
Compass Box, Orchard House;2;7;6;8;4;7;0;7;7
Caol Ila 12 Jahre;1;4;7;8;4;4;8;2;7
Dalmore 18 Jahre;2;7;8;8;6;7;0;4;8
Dalmore 12 Jahre;1;6;8;7;6;6;2;5;7
Compass Box, The Peat Monster;2;5;8;9;5;3;9;3;9
Compass Box, Spice Tree;2;7;7;8;4;7;0;7;7
Benromach 10 Jahre;2;5;7;7;5;4;3;4;7
Benrinnes 15 Jahre Flora und Fauna;2;6;8;8;6;6;1;6;8
Balvenie 12 Jahre Double Wood;2;7;8;8;6;7;0;5;7
BenRiach Heart of Speyside;2;7;7;8;5;6;2;5;7
Bell's Original;2;5;6;6;6;5;1;5;6
Balvenie 21 Jahre Port Wood;2;8;8;9;6;8;0;7;9
Balvenie 14 Jahre Caribbean Cask;2;7;7;8;5;8;0;5;7
Balblair 12 Jahre;2;8;7;8;5;8;0;5;8
Balvenie 12 Jahre The Sweet Toast of American Oak;2;7;7;8;6;8;0;5;7
Arran Sauternes Cask Finish;2;8;7;8;5;8;0;6;8
Auchroisk 10 Jahre Flora & Fauna;2;6;7;7;6;6;0;6;6
Arran Robert Burns;2;7;6;7;5;7;0;5;6
Arran Robert Burns, Single Malt;2;7;6;7;5;7;0;5;6
Arran 10 Jahre;2;8;7;8;5;8;0;5;8
Penderyn Peated;2;7;5;7;5;7;5;5;6
Penderyn Portwood;2;8;5;8;5;8;0;5;7
Malts of Scotland, Images of Islay, St Kiaran's Church;2;8;7;8;5;8;7;5;8
Amrut Original;3;8;6;8;6;7;6;7;8
Wolfburn No. 318 lightly peated;2;7;6;7;6;7;4;6;7
Tomatin 15 Jahre;3;8;7;8;6;8;3;7;8
Ben Nevis Coire Leis;3;7;7;7;6;7;5;7;7
Tomatin 12 Jahre;2;7;6;7;6;7;2;7;7
Caol Ila 9 Jahre 2012/2022;2;6;6;7;6;6;8;6;7
Highland Park 18 Jahre;3;8;8;8;6;8;2;7;9
Tullibardine 225 Sauternes Finish;2;7;6;7;6;8;1;7;7
Ben Nevis 10 Jahre Edit. 2021;2;7;6;7;6;7;4;7;7
Bruichladdich Bere Barley 2010;4;7;6;7;6;7;3;7;7
Bruichladdich Black Art 9.1 29 Jahre;3;5;8;9;5;6;2;8;9
Bruichladdich Port Charlotte 2008 Islay Heavily Peated;2;5;7;7;6;6;8;7;7
Buffalo Trace;2;7;5;7;5;7;1;7;7
Elijah Craig Small Batch;2;7;7;7;7;6;1;7;7
Jack Daniels Single Barrel, Barrel Strength;1;7;6;7;6;7;1;7;7
Wolfburn No.128 Small Batch;4;6;6;6;6;6;0;6;6
Maker's Mark CS;0;6;8;6;6;6;0;6;6
The Temple Bar 15 Jahre;4;6;6;6;6;6;0;6;6
Tobermory 12 Jahre Fino Casks Collectors;3;6;7;6;6;6;2;6;6
Tullibardine 18 Jahre 1993 / 2011 Gordon & MacPhail;2;7;7;7;6;7;0;7;7
Inchmurrin 18 Jahre;4;7;8;7;6;7;0;7;7
Jura 21 Jahre;2;6;7;8;7;7;4;8;7
Imperial 1996 / 2015 Gordon & MacPhail;3;7;8;7;7;7;0;7;7
Jura Tastival 2014;2;7;8;7;7;7;4;7;7
Ledaig 2007/2020 Signatory Vintage Cuvée #4;2;7;8;7;8;7;8;7;8
Glenlossie 2008 / 2020 Signatory Mash Tun Sonderabfüllung;5;7;8;7;7;7;0;7;7
Glenrothes Select Reserve;2;7;7;6;7;7;0;6;6
Glen Spey 2007 / 2019 Single Cask, Seasons Spring 2019;4;6;7;6;6;6;0;6;6
Glentauchers 11 Jahre 2008 / 2020 Signatory Vintage Cask Strength;4;7;8;7;7;7;0;7;7
Glenrothes 11 Jahre Gordon & MacPhail Discovery;2;6;6;6;6;6;0;6;6
Highland Park Sigurd Warrior Series;5;7;8;8;7;7;5;8;8
Hibiki Harmony;6;8;6;8;6;8;0;7;7
Highland Park Leif Eriksson Release;5;7;7;7;7;7;4;7;7
Highland Park 2004/2017 Single Cask 6687;4;7;8;8;7;7;6;8;8
Ben Nevis Traditional Peated Highland Single Malt Scotch Whisky;3;7;7;7;7;7;7;7;7
Ben Nevis 7 Jahre 2013 / 2021 Signatory Vintage The Un-Chillfiltered Collection;5;7;8;7;7;7;6;7;7
Deanston 2008 Oloroso Cask Matured, Limited Release;4;7;8;7;7;7;0;7;7
Dailuaine 2010 / 2020 10 Jahre MoS20030, Malts of Scotland;5;7;8;7;7;7;4;7;7
Dimple 15 Jahre;6;7;8;8;7;7;2;8;8
Edradour Ballechin 2007 / 2017 Winter Single Cask Seasons;3;7;8;7;7;7;7;7;7
Floki Icelandic Young Malt;6;6;6;6;6;6;3;6;6
GlenAllachie 12 Jahre Marsala Wood Finish Germany exclusive;6;7;8;7;7;7;0;7;8
GlenAllachie 11 Jahre Pedro Ximenez Sherry Wood Finish;6;7;8;8;7;8;0;8;8
Glenallachie 2005 / 2018 13 Jahre Single Cask 16911 Bourbon Barrel;5;7;8;7;7;7;2;7;8
GlenAllachie 2007 / 2019 Single Cask 3774, Madeira Hogshead;6;7;8;8;7;8;0;8;8
Benromach Peat Smoke;2;4;6;6;6;4;9;4;6
The Singleton of Dufftown 15 Jahre;6;6;6;7;6;6;0;6;6
ElsBurn Marsala Cask Batch No. 2;6;6;7;8;6;6;0;6;8
The Singleton of Dufftown Spey Cascade;6;6;7;7;6;6;0;6;7
Wolfburn No. 375;6;6;6;6;6;6;0;6;6
Tyrconnell 16 Jahre;6;8;6;7;6;6;2;6;6
West Cork 12 Jahre Rum Cask;5;7;7;6;7;8;3;7;7
Waterford Single Farm Origin;4;8;5;6;7;5;2;6;6
Tyrconnell 10 Jahre Madeira Cask;6;7;6;6;6;6;3;6;6
Prometheus 1988 28 Jahre (Blended);5;8;8;9;7;5;5;7;9
Waterford Single Farm Origin;4;8;5;6;7;5;2;6;6
Aberfeldy 16 Jahre;7;7;7;8;7;5;2;7;7
Aberfeldy 12 Jahre;7;7;7;7;7;5;2;7;7
Auchentoshan Three Wood;4;7;9;7;6;7;1;7;8
Auchentoshan American Oak;5;6;6;5;6;6;1;6;6
Ardmore Legacy;4;6;6;6;6;4;6;6;6
Teeling Single Malt;6;7;6;7;6;6;2;6;6
St. Kilian Terence Hill The Hero;3;6;7;6;6;5;7;6;7
Teeling Small Batch;5;6;6;6;6;6;2;6;6
St. Kilian Eight;4;7;6;7;6;6;2;6;6
St. Kilian Virgin Oak 3 Jahre Single Cask;3;5;8;7;5;4;2;4;6
Hyde No.7;4;6;7;6;6;6;2;6;7
Tyrconnell 10 Jahre Port Cask;4;6;7;6;6;6;2;6;7
ElsBurn Journey 2022;5;7;6;7;6;6;2;6;7
Mr. Peat;3;5;8;6;5;4;8;4;6
Springbank Local Barley 10 Jahre;3;5;8;7;6;4;4;6;7
West Cork Calvados Finish;4;6;7;6;5;5;2;5;7
Oban Distiller's Edition 2007 / 2021;3;5;8;7;5;5;2;5;7
West Cork 16 Jahre;4;6;7;7;5;4;2;4;7
Oban 14 Jahre;3;5;8;7;5;5;2;5;7
Teeling Single Grain;3;7;5;7;5;5;2;5;6
Tullamore Dew 14 Jahre;3;6;8;7;5;5;2;5;7
Nikka Taketsuru Pure Malt 2020 Release;4;7;6;7;5;4;2;5;7
Chichibu Ichiro's Malt & Grain;3;7;8;8;6;4;3;6;8
St. Kilian Grave Digger Tunes of War;2;6;9;8;5;5;5;5;8
Kilbeggan Irish Whiskey;3;6;6;6;4;4;1;4;5
St. Kilian Nine;2;6;8;7;5;5;2;5;7
Roe & Co;3;7;6;7;5;5;2;5;7
Slyrs Rum Fass;2;6;8;7;5;5;3;5;7
Penderyn Madeira Finish;3;7;6;7;5;6;1;6;6
Slyrs Classic;3;7;8;7;5;5;2;5;7
Penderyn Legend;3;7;6;7;5;5;1;5;5
Slyrs Single Cask Edit. 2017 CS;2;7;9;8;6;5;3;6;8
Amrut Fusion;2;8;7;8;6;6;3;6;8
The Irishman;2;7;7;7;5;5;1;5;5
Bain's Cape Mountain Single Grain;5;7;5;7;8;5;1;5;5
Octomore X4+10;1;8;10;9;5;5;10;5;9
Cotswolds New Make Spirit;6;6;2;6;6;6;1;6;2
Cotswolds Ex-Wine Cask Spirit;4;6;7;7;6;6;1;6;7
Cotswolds Ex-Bourbon Cask Spirit;3;6;6;6;6;6;1;6;6
Bunnahabhain 25 Jahre;5;7;8;9;5;5;2;7;9
Edradour Ballechin 15 Jahre SBCS;4;5;8;8;5;5;5;5;8
Macallan 18 Jahre Double Cask;5;8;9;9;5;5;1;8;9
Bunnahabhain Toiteach A Dha;3;6;7;7;6;6;7;6;7
Unnamed Orkney 2009 / 2022 12 Jahre Signatory UC;4;6;7;7;6;6;3;6;7
Nc'Nean Huntress 2022;7;8;6;8;4;5;0;5;7
Ledaig 10 Jahre;5;6;8;7;7;3;9;7;8
Kingsbarns Distillery Reserve STR;0;7;7;6;6;7;0;5;7
Pulteney 12 Jahre 2008 / 2021 Signatory CS;3;5;8;7;6;5;0;6;7
Kingsbarns Balcomie;2;7;6;6;4;5;0;4;6
Edradour 10 Jahre Chardonnay Cask Nr. 397;2;6;6;7;5;6;0;4;7
Edradour 10 Jahre Chardonnay Cask Nr. 395;2;5;6;6;5;5;0;4;6
Speyside 13 jahre 2009/2022;3;6;8;7;5;6;0;6;7
Spirituosen Mischlösung 0,7l;0;0;0;0;0;0;0;0;0
