acid;cumin aldehyde  isovaleric acid
alcohol;propanol
alkaline;pyrrolidine
alkane;pentane  hexane  octane  nonane  dodecane  eicosane  undecane  decane  heptane  7-heptadecene  hexadecane  octadecane  tridecane  tetradecane  pentadecane  heptadecane  nonadecane  heneicosane  docosane  tricosane
almond;benzaldehyde  pentanal  heptenal  5-methylfurfural  methylbutanal  furfural  acetophenone
almond shell;4-vinylphenol
amine;methylbutenthiol
anise;hydrocinnamic alcohol  estragole  α-terpineol
apple;(2S)-2-methyl-ethyl ester-butanoic acid  diethyl malonate  ethyl butyrate  geranyl butyrate  geranyl isovalerate  isobutyl acetate  linalyl isovalerate  (E)-β-damascone  heptyl 2-methylbutyrate  methyl methylbutanoate  2-hexenal  pentyl methylbutyrate  ethyl methylbutyrate  methyl methylbutyrate
apple peel;ethyl hexanoate  hexyl butanoate  hexyl hexanoate
apple. rose;β-damascenone
apricot;γ-undecalactone
baked;diethylmethylpyrazine  nonenone
balsamic;styrene  acetylfuran  benzyl benzoate  myrcene  butyl benzoate  cis-sabinene hydrate  trans-sabinene hydrate  bornyl benzoate  α-guaiene  α-gurjunene  guaiol  (-)-β-bisabolene  hydrocinnamic acid  p-coumaric acid  7-methoxycoumarin  myristicin  pentanol
banana;isobutyl acetate  isoamyl acetate  hexenyl acetate  pentyl butanoate
basil;DL-carvone
beet;geosmin
biscuit;4-heptenal
bitter;isobutanol
bitter almond;4-acetyltoluene
black currant;mercaptomethylpentanone  methoxymethylbutanethiol
boiled vegetable;benzyl acetate
box tree;3-mercaptohexyl-acetate  4-mercapto-4-methyl-2-pentanone
bread;2-acetylpyrrole  furfural
broccoli;5-(methylthio)-valeronitrile
brown sugar;diethyl malate
burnt;octanol  indole  3-methyl-1-butanol  ethyldimethylpyrazine  dimethyl sulfone  furfuryl alcohol
burnt sugar;benzaldehyde  5-methylfurfural
butter;octanone  pentylfuran  diacetyl  acetoin  2,3-pentadione  pentenol  isobutyric acid
butterscotch;methyl vanillate
cabbage;thiophane  methyldihydrothiophenone  dimethyl trisulfide  mercaptoacetaldehyde  erucin  berteroin  dimethyl tetrasulfide  5-(methylthio)-valeronitrile  dimethyl disulfide  dimethyl sulfide
camomile;ethyl benzoate
camphor;isobornyl formate  isoborneol  α-fenchyl alcohol  α-fenchyl alcohol  fenchyl alcohol  dihydrolinalool  dihydrocarvyl acetate  camphene hydrate  borneol  methylbutanone  camphor  camphene
caramel;ethyl-4-hydroxymethyl- 3(2H)-Furanone  maltol  norfuraneol  hydroxydimethylcyclopentenone  2-acetyl-1,4,5,6-tetrahydropyridine  2-acetyl-3,4,5,6-tetrahydropyridine  homofuraneol  furaneol™  methyl vanillate  dimethylmethoxyfuranone  acetyloxy-dimethylfuranone  5-methylfurfural  γ-butyrolactone  ethyl hydroxybutanoate
caraway;(Z)-carveol  (E)-carveol  (+)-carvone  carveol
cardboard;palmitaldehyde  5-oxymethylfurfurole
carrot;butylmethoxypyrazine
cat;mercaptomethylbutyl formate  methoxymethylbutanethiol
celery;ethyl benzoate
cheese;butyric acid  methylbutyric acid  octanoic acid  isobutyric acid
chemical;heptanol  octanol  4-methyl-3-penten-2-one
cinnamon;ethyl cinnamate  hydrocinnamic alcohol  (E)-cinnamaldehyde
citrus;linalyl valerate  heptanal  linalyl isovalerate  lauric aldehyde  linalyl formate  α-p-dimethylstyrene  p-cymenol  nonanal  β-cubebene  (Z)-limonene oxide  cis-linalool pyran oxide  dihydrolinalool  6(10)-dihydromyrcenol  dihydromyrcenol  β-farnesene  (Z)-β-Farnesene  (Z)-ocimene,  (E)-limonene oxide  dihydroterpinyl acetate  (+)-limonene,  (epoxymethylbutyl)-methylfuran  p-cymene
clove;4-ethylguaiacol  p-vinylguaiacol  methyl eugenol  eugenol
cocoa;dimethyl pyrazine  dimethyl pyrazine  butyl methylbutyrate  dimethyl pyrazine  methylbutanal
coconut;γ-octalactone  γ-nonalactone  methyl laurate  tetradecanol  methyl nonanoate  wine lactone  (E)-oak lactone  ethyl undecanoate  δ-decalactone  (Z)-whiskey lactone
coffee;fufuryl mercaptan
cognac;ethyl undecanoate
cologne;6(10)-dihydromyrcenol  dihydromyrcenol
cooked meat;methyl-(methyldithio)furan  12-methyltridecanal  3-mercaptothiophene
cooked potato;methyl-2-(methylthio)acetate  methional
cooked vegetable;hexenone
coriander;linalyl formate
cotton candy;methyl furaneol  sotolon  pantolactone  Diethyl 2-hydroxyglutarate
coumarin;4-hexanolide
cream;diethyl acetal  acetoin  2,3-pentadione  4-heptenal
crushed bug;3-octen-2-one
cucumber;6-decenal  (E)-2-nonenal  nonadienol  2,4-octadienal  3-nonenal  2,6-nonadienal  2-nonenal  2-nonanol  2,6-nonadienol
curry;p-vinylguaiacol
dill;epoxy-p-menthene  (+)-α-phellandrene  dill ether
dust;citronellyl acetate  pinenol
earth;bornyl methyl ether  isobornyl formate  trimethylthiazole  germacrene B  ethenyl-dimethylpyrazine  ethenyl-ethylmethylpyrazine  geosmin  2-methoxy-3,6-dimethylpyrazine  methylisoborneol  butylmethoxypyrazine  isobutylmethoxypyrazine  isopropylmethoxypyrazine  1,5-octadienone  ethyldimethylthiazole  α-caryophyllene alcohol  β-caryophyllene alcohol  caryophyllene alcohol  hydroxypentanone  bornyl isovalerate  1,5-octadien-3-ol  diethyl tartrate  (epoxymethylbutyl)-methylfuran
ester;methyl cyclohexanecarboxylate
ether;pentanone  (E,E)-farnesylacetone  ethyl tetradecanoate  hexanone  hexanone  methyl butanoate  ethanal  methyl ethyl ketone  pentanone
fat;γ-heptalactone  citronellal  ethyl octanoate  3-nonenal  heptanal  methyl laurate  nonanoic acid  decanol  lauryl alcohol  lauric aldehyde  methyl octadecenoate  oleic acid  1,3-p-menthadien-7-al  2-octanol  octanal  nonanal  (E)-2-hexenoic acid  isopropyl palmitate  nonanol  perillaldehyde  heptenal  (E)-2-nonenal  2-dodecenal  3,6-nonadienal  pentylpyridine  decadienal  decadienal  2-octenal  decanoic acid  3,5-octadienone  2,4-heptadienal  oxodecanal  perhydrofarnesylacetone  2-hexenal  (E)-2-undecenal  2,4-nonadienal  2-nonenal  hexanal  2-methyl-2-(methyldithio)propanal  γ-decalactone  12-methyltridecanal
fecal;m-cresol  skatole
fennel;DL-carvone
fish;4-ethyl-6-hepten-3-one  pentenone  dimethyl trisulfide  (E,Z)-3,6-nonadien-1-ol  trimethylamine
flower;benzyl alcohol  phenylacetic acid  tridecanal  p-anisyl alcohol  hexanol  (E,E)-farnesylacetone  methyl geranate  trans-crotonaldehyde  tetradecyl aldehyde  methyl anthranilate  linalool oxide  epoxylinalool  phytol  10-epi-γ-eudesmol  nerol oxide  ethyl dihydrocinnamate  γ-dodecalactone  hexadecanol  4-mercapto-4-methyl-2-pentanol  (Z)-ocimene,  (E)-linalool oxide  cetyl alcohol  (E)-oak lactone  nerolidol  ethyl-(E)-cinnamate  elemicin  pinocarveol  α-bisabolol  (E)-rose oxide  (E)-isoelemicin  methyl methylpropanoate  trimethylphenylbutenone  2-methyl anisole  β-farnesol  (E)-isoeugenol  (Z)-linalool oxide  nitro-phenylethane  ethyl vanillate  6-Methoxyeugenol  linalool  β-ionone  (E)-Whiskey lactone  trimethylphenylbutenone  (+)-cis-rose oxide  ethyl benzoate  phenylethyl benzoate  isoeugenol  acetophenone
foxy;o-aminoacetophenone
fresh;methyl hexanoate  undecanone  (Z)-limonene oxide  benzyl acetate  ethylhydroxyhexanoate  isopropyl hexanoate  pentadecanal  β-elemene  α-zingiberene  (E)-limonene oxide  (E)-p-mentha-2,8-dien-1-ol  menthone  piperitone  (E)-3-hexenol  carveol
fried;decadienal  decadienal  2,4-heptadienal
fruit;ethyl phenylacetate  geranyl valerate  γ-heptalactone  ethyl propionate  diethyl acetal  geranyl butyrate  ethyl heptylate  ethyl octanoate  methyl hexanoate  dimethylheptenal  pentanone  ethyl 3-methylbutanoate  geranyl isovalerate  isobutyl acetate  ethoxypropanol  methyl-2-butenal  methylnonanedione  linalyl acetate  methyl geranate  limonene oxide  hydrocinnamic alcohol  diethyl succinate  ethyl hexanoate  ethylmethyl pyrazine  β-cubebene  neryl acetate  citronellyl butyrate  hexyl acetate  nonyl acetate  butyl methylbutyrate  pentenal  isopentyldimethylpyrazine  p-menth-1-en-9-ol  hexadecanone  octyl acetate  γ-dodecalactone  epoxy-β-ionone  ethyl octenoate  ethyl isohexanoate  isobornyl propionate  cedrenol  p-menth-1-en-9-yl acetate  cadinadiene  (Z)-3-hexenyl hexanoate  ethyl cyclohexanoate  4-methylthio-2-butanone  3,5-octadienone  methyl cyclohexanecarboxylate  2-pentylthiophene  α-ocimene  butanediol  ethyl valerate  pentanol  isopiperitone  butyl octanoate  ethyl vanillate  methyl butanoate  2-methylbutyl acetate  propyl hexanoate  butyl hexanoate  isopropyl butanoate  spathulenol  butanol  δ-dodecalactone  methyl quinoxaline  sesquiphellandrene  2-hexenol  ethyl benzoate  isopropyl benzoate  ethyl lactate  citronellyl isobutyrate
garlic;thiophene  methylene bis(methyl sulfide)  methylthiazoline  allyl isothiocyanate, allyspol  methyl ethyl sulfide  syntexan  methanethiol
gasoline;styrene  octanone  p, a -dimethylstyrol  methanethiol  dimethyl sulfide  benzothiazole  γ-terpinene  p-cymene
geranium;geraniol  (E,Z)-2,4-nonadienal  octadienone  o-xylene
grape;ethyl decanoate  hexanone
grapefruit;(+)-nootkatone  p-menthenethiol
grass;2-ethylpyridine  2,6-dimethylnaphthalene  hexanal  (Z)-3-hexenol
green;2-ethylhexanol  6-decenal  dimethylheptenal  hexanol  heptanol  methyl-2-butenal  hexyl octanoate  nonanoic acid  undecanone  methyl geranate  isobornyl formate  butanal  octanal  nonanal  epoxy-2-decenal  cis-linalool pyran oxide  nonanol  alpha,γ-dimethylallyl alcohol  (Z)-2-penten-1-ol  (Z)-3-hexenyl butanoate  isobutyl thiazole  (E)-2-nonenal  2-dodecenal  (Z)-4-decenal  2-octenal  2-hepten-1-al  bicyclogermacrene  2-octenal  α-thujene  (Z)-β-Farnesene  (-)-γ-elemene  2,4-octadienal  fucoserratene  hexenyl acetate  geranyl acetone  valencene  β-eudesmol  1-hexenol  (E)-2-undecenal  artemisia ketone  viridiflorol  2,6-nonadienal  trimethylphenylbutenone  2,4-nonadienal  butyl isothiocyanate  2-pentanol  elemol  2-hexenal  3-hexenal  (+)-(E)-limonene oxide  cis-isocitral  dimethyloctadienal  bornyl formate  bornyl isovalerate  isobutyraldehyde  2,4-hexadienal  trimethylphenylbutenone  nonanone  (E)-2-hexenal  (+)-cis-rose oxide  menthone  coumarin  (epoxymethylbutyl)-methylfuran  2-hexenol  (E)-2-hexenol  carvyl acetate
green bean;pentylfuran
green leaf;2-octenal
green pepper;isobutylmethoxypyrazine
green tea;(-)-cubenol
hawthorne;phenylethanal
hazelnut;filbertone
herb;octanone  hexyl octanoate  caryophyllene oxide  methylbutenol  safranal  benzyl benzoate  bornyl butyrate  hexyl acetate  β-bisabolol  piperitol  β-selinene  α-cubebene  p-menth-1-en-9-ol  humulene oxide  T-muurolol  (-)-cubenol  levomenol  ocimene  α-thujene  p-menth-1-en-9-yl acetate  dehydrocarveol  artemisia alcohol  γ-muurolene  hydroxypentanone  (Z)-ocimene,  β-elemene  δ-cadinol  (E)-β-ocimene  (Z)-dihydrocarvone  α-cadinol  calamenene  (Z)-piperitol  lavandulol  β-bourbonene  (Z)-3-hexenyl-2-methylbutanoate  cuminic alcohol  artemisia ketone  methyl-2-butenol  heptanol  (E)-dihydrocarvone  p-2-menthen-1-ol  α-curcumene  spathulenol  sesquiphellandrene  citronellyl valerate  bornyl isovalerate  1,5-octadien-3-ol  methyl benzoate  2,3,4,5-tetrahydroanisole  hydroxycalamenene
honey;ethyl cinnamate  β-phenethyl acetate  phenylacetic acid  phenylethanal  methyl anthranilate  cinnamic acid  β-damascenone  ethyl-(E)-cinnamate  2-phenylethyl alcohol  citronellyl valerate  phenylethyl benzoate  eugenol
horseradish;4-pentenyl isothiocyanate
hot milk;nonanone
hummus;dimethoxytoluene
hyacinth;hotrienol
jasmine;methyl jasmonate  methyl dihydroepijasmonate  methyl epijasmonate
lactone;(E)-Whiskey lactone
lavender;linalyl valerate  linalool
leaf;ethyl laurate  3-hexenal  (E)-2-hexenal  isopulegyl acetate  2-hexenol  (E)-2-hexenol
lemon;neral  octanal  δ-3-carene  limonene  geranial  4-mercapto-4-methyl-2-pentanol  citral  2,3-dehydro-1,8-cineole  α-terpinene
lettuce;methyl benzoate
licorice;estragole  dehydro-ar-ionene
lilac;2-phenylethyl alcohol
lily;lauric aldehyde
magnolia;geranyl acetone
malt;pentanal  3-methyl-1-butanol  2-methyl-1-butanol  methylbutanal  isobutyraldehyde
mandarin;undecanol
maple;sotolon
marshmallow;ethyl 3-hydroxybutanoate
meat;diethylmethyl pyrazine  methyldihydrofuranthiol  methylfuranthiol  dimethylfuranthiol  dimethyl pyrazine  methyldithiofurane  mercaptopentanone
meat broth;mercaptomethylbutanol  12-methyltridecanal
medicine;p-cresol  dimethyl pyrazine  dihydrocarvyl acetate  methyl-thiophenethiol  δ-cadinene  chavicol  acetylpyrrolizine  butanol  guaiacol  syringol
melon;dimethylheptenal
menthol;neoisomenthol
metal;octanol  epoxy-2-nonenal  epoxy-2-undecenal  epoxy-2-octenal  epoxy-2-decenal  lauric acid  hexenone  heptenone  octenone  benzylmethyl ether  zingiberenol  octadienone  octenhydroperoxide
mildew;dimethylmethoxyfuranone
mint;menthone  ethyl salicylate  p-anisaldehyde  (R)-linden ether  epoxy-p-menthene  geranial  (methylbutenyl)-methylfuran  dihydrocarvyl acetate  β-cyclocitral  1,8-cineole  β-phellandrene  methylpentanone  (+)-limonene,  dihydrocarveol  (-)-carvone  (E)-p-mentha-2,8-dien-1-ol  isopulegyl acetate  piperitone  2,3-dehydro-1,8-cineole  α-terpineol  DL-carvone  α-phellandrene
mold;dimethylthiazole
moss;β-caryophyllene alcohol  caryophyllene alcohol  octanol  (E)-3-hexenol
mothball;indole  skatole
muguet;(E)-farnesol
mushroom;methylisohexenyl ketone  2-octanol  (E)-2-penten-1-ol  nonenone  octenol  3,5-octadienone  octenone  heptanol  octanol  octenhydroperoxide
must;bornyl methyl ether  tridecanal  tridecanol  p-cymenol  myrcene  isoborneol  (E)-2-hexenoic acid  methyldihydrothiophenone  β-terpineol  trimethyl-pyrazine  pinenol  (Z)-4-decenal  ethyl octenoate  methylisoborneol  1,5-octadienone  1-terpinen-4-ol  3-terpinen-1-ol  ethylphenol  diethyl tartrate  acetophenone
mustard;4-pentenyl isothiocyanate
nut;filbertone  γ-heptalactone  2-acetylpyrrole  3-octen-2-one  dihydromethylcyclopentapyrazine  acetylthiazole  2-octenal  2,4-heptadienal  3-octenone  hydroxypentanone  octanol  dimethyl pyrazine  methyl quinoxaline  acetylpyrroline
nutmeg;1-terpinen-4-ol
oil;cinnamyl alcohol  butyl laurate  hexyl octanoate  decyl alcohol  undecylic acid  undecanaldehyde  stearyl alcohol  benzyl benzoate  δ-muurolene  nerol oxide  ethyl octenoate  dehydrocarveol  (-)-γ-elemene  (E,E)-farnesyl acetate  valencene  β-farnesol  octadecanaldehyde  (E)-2-dodecen-1-ol  α-terpineol
onion;methyldihydrothiophenone  2-methyl-1-butanol  methyltetrahydrofuranthiol  mercaptobutanone  butanediol  dimethyl disulfide  mercaptopentanone
orange;methyl octanoate  undecanone  decyl alcohol  limonene  2-decenal
orange peel;decanal  β-carene
orris;methyl tetradecanoate  2-nonenal
paint;toluene  (E)-cinnamaldehyde
paper;2-nonenal
pea;isopropylmethoxypyrazine
peach;γ-nonalactone  (Z)-6-dodecene-γ-lactone  δ-decalactone  R-δ-decenolactone  hexyl hexanoate  5-octanolide  γ-decalactone  δ-undecalactone
peanut butter;ethyl pyrazine  dimethyl pyrazine
pear;butyl acetate  ethyl-(E,Z)-2,4-decadienoate  linalyl butyrate
pepper;methylisohexenyl ketone  asaricin  sabinene
peppermint;methyl salicylate  l-menthol
pesticide;1-cyclohexen-3-one
phenol;p-cresol  phenol  p-hydroethylbenzene  4-propyl-guaiacol  chavicol  syringol  o-cresol
pine;α-p-dimethylstyrene  β-pinene  bornyl benzoate  δ-terpinene  dihydroterpinyl acetate  α-pinene
pineapple;propyl butyrate  propyl propanoate  ethyl acetate
plastic;m-xylene  m-cresol  (Z)-2-penten-1-ol  octenol  fucoserratene  δ-terpinene  methyl-p-xylene
plum;benzyl butanoate
popcorn;Propionylpyrrole  methyl pyrazine  acetylpyridine  ethyldimethylpyrazine  acetylthiazoline
potato;2,5-dimethyl-3-ethylpyrazine  ethyldimethylpyrazine  trimethyl-pyrazine  diethylmethyl pyrazine  methionol
prune;(Z)-3-hexenyl hexanoate  methyl benzoate
pungent;ethyl formate  pentanal  undecanaldehyde  propanal  butanal  pentenone  (E,Z)-2,4-nonadienal  ethyl octenoate  nonenone  allyl isothiocyanate, allyspol  methylpentanol  butyl isothiocyanate  pentenol  isopropyl butanoate  propanol  ethanal  isobutyraldehyde  propanoic acid
putrid;dimethyl disulfide
rancid;phenyl cyanide  butyric acid  azine  heptanal  decanoic acid  isovaleric acid  2-hexenal  propanoic acid  isobutyric acid  durene
raspberry;raspberry ketone  β-ionone
resin;octanone  hexanol  β-pinene  δ-3-carene
roast;Propionylpyrrole  4-Carbethoxybutyrolactone  propionylpyrroline  2,5-dimethyl-3-ethylpyrazine  S-(2-furfuryl)-ethanethioate  dimethylethyl pyrazine  trimethyl-pyrazine  methylethyl pyrazine  diethylmethyl pyrazine  acetylpyrazine  dihydromethylcyclopentapyrazine  acetylthiazole  acetylthiazoline  dimethylthiazole  mercaptomethylbutyl formate  methylfurfurylthiol  methylcyclopentapyrazine  methyl quinoxaline  acetylpyrroline  fufuryl mercaptan
roast beef;dimethyl pyrazine  dimethyl pyrazine
roasted meat;mercaptopentanone  bis(2-methyl-3-furyl)disulphide  3-(acetylthio)-2-methylfuran  4-methylthiazole
roasted nut;dimethyl pyrazine  dimethyl pyrazine  methyl-2-(methylthio)acetate
rose;β-phenethyl acetate  2-ethylhexanol  geranyl valerate  geranyl acetate  citronellol  geraniol  geranyl butyrate  geranyl isovalerate  citronellyl butyrate  citronellyl acetate  isogeraniol  (-)-cis-rose oxide  isogeraniol  2-phenylethyl alcohol  citronellyl valerate  citronellyl isobutyrate
rubber;methylisohexenyl ketone  (Z)-2-penten-1-ol  phenylethylthiol  dimethylthiazole  benzothiazole  ethyl isobutyrate
seaweed;2,4-octadienal  2,4-decadienal  β-ionone
sharp;cumin aldehyde  α-zingiberene
smoke;p-cresol  4-Carbethoxybutyrolactone  dimethylthiazole  methylbutenthiol  furfurylmethyldisulphide  2-methyl-2-(methyldithio)propanal  guaiacol  syringol
soap;heptanone  octanone  decanal  octanal  (Z)-6-dodecen-γ-lactone  octenol  heptenal  3,6-nonadienal  (E)-2-undecenal  nonanone
solvent;propyl butyrate  (E)-carveol  propanal  isobutanol  p-cymene
sour;acetic acid
soy;propanoic acid
spearmint;carvyl acetate  carveol
spice;caryophyllene oxide  cadina-1,4-dien-3-ol  1,3-p-menthadien-7-al  p-hydroethylbenzene  myrcene  germacrene B  wine lactone  asaricin  isodihydrocarveol  perilla aldehyde  (-)-cubenol  bulnesol  ethylfuranone  myrtenal  germacrene D  ethylfuranone  isobutylmethoxypyrazine  4-ethylguaiacol  sotolon  cadinadiene  γ-muurolene  3-oxo-α-ionol  α-copaene  1,4-cineole  calamenene  dill apiol  elemicin  α-zingiberene  α-bisabolol  (E)-isoelemicin  (Z)-oak-lactone  caryophyllene alcohol  2-phenylethyl alcohol  myristicin  nitro-phenylethane  dihydrocarveol  abhexone  acetylmethylcyclohexene  β-caryophyllene  β-guaiene  methyl eugenol  2,3,4,5-tetrahydroanisole  safrole  α-phellandrene
straw;methylnonanedione
strawberry;hexyl methylbutyrate  methyl cinnamate  pentenal  methyl cinnamate
sulfur;hexanethiol  formylmethyl thiophene  sulfurol  methylene bis(methyl sulfide)  ethyl mercaptopropionate  acetylthiazole  dimethyl trisulfide  3-mercaptohexanol  methylthiophene  methyl thiocyanate  methyldithiolane  allyl isothiocyanate, allyspol  dimethyl tetrasulfide  butyl isothiocyanate  methylfurfurylthiol  methyl ethyl sulfide  thenylthiol  dimethyl sulfone  mercaptopentanone  methanethiol  dimethyl sulfide  acetylthiophene  2-formylthiophene
sweat;butyric acid  o-picoline  pentanoic acid  methylbutyric acid  octanoic acid  5-isopropyl-2-methylpyrazine  caproic acid  methylethylpyrazine  isovaleric acid  12-methyltridecanal  4-methylhexanol
sweet;benzyl alcohol  ethyl phenylacetate  tridecanal  nerol  methyl hexanoate  linalyl isovalerate  undecanaldehyde  caryophyllene oxide  linalyl acetate  safranal  uncineol  phenylethanal  p-anisaldehyde  eudesmol  ethylmethyl pyrazine  citronellyl butyrate  4-methyl-3-penten-2-one  nonyl acetate  10-epi-γ-eudesmol  β-bisabolol  (Z)-6-dodecene-γ-lactone  β-farnesene  2-dodecenal  γ-dodecalactone  epoxy-β-ionone  2-undecenal  styrene glycol  methyl furaneol  (-)-cis-rose oxide  (E)-β-ocimene  dimethylmethoxyfuranone  1,8-cineole  ethylbenzaldehyde  2-pentylthiophene  α-farnesene  methionol  7-methoxycoumarin  (Z)-3-hexenyl-2-methylbutanoate  o-aminoacetophenone  viridiflorol  isopiperitone  β-sinensal  ethyl vanillate  methyl butanoate  p-methoxystyrene  ethanol  6-Methoxyeugenol  4-hexanolide  δ-dodecalactone  sesquiphellandrene  diethyl malate  linalyl butyrate  guaiacol  coumarin  methyl benzoate  isopropyl benzoate  safrole  durene  γ-butyrolactone  ethyl isobutyrate  furfural
tallow;6-decenal  decanal  2-decenal  2-decenal  hexanal  12-methyltridecanal
tar;naphthalene
tart lime;6(10)-dihydromyrcenol  dihydromyrcenol
tea;(E)-α-bergamotene
terpentine;(-)-nootkatone  β-phellandrene
thiamin;1-(methylthio)ethanethiol  methyl-(methyldithio)furan  methyldithiofurane
thyme;δ-cadinene
tobacco;β-phenethyl acetate
tomato;pentenal
tomato leaf;isobutyl thiazole
truffle;hydroxypentanone  hydroxypentanone
turpentine;β-pinene  p-menthatriene  isobornyl propionate  p-mentha-dien-hydroperoxide  sabinene  1-terpinen-4-ol  p-menthadienhydroperoxide  p-menthadienhydroperoxide  α-pinene  p-menthadienhydroperoxide  α-phellandrene  γ-terpinene
urine;benzoic acid
vanilla;vanillin  methyl vanillate  acetovanillone  ethyl vanillate
vinyl;alpha,γ-dimethylallyl alcohol
violet;α-ionone  β-ionone
walnut;2-acetylpyrrole  2-octenal  2-methyl anisole  (E)-2-hexenol
warm;(E)-α-bergamotene  (Z)-dihydrocarvone  2-methyl anisole  (E)-dihydrocarvone  myristicin  citronellyl valerate  safrole
watermelon;2,4-nonadienal
wax;lauryl alcohol  uncineol  tetradecyl aldehyde  α-cubebene  decadienal  hexadecanol  β-elemene  cetyl alcohol  (Z)-nerolidol  nerolidol  (E,E)-farnesyl acetate  2,6-nonadienal  2,4-nonadienal  ethyl hexadecanoate  terpinyl acetate
weak spice;T-muurolol
wet cloth;α-ocimene
whiskey;3-methyl-1-butanol  butyl decanoate
wine;methyl decanoate  diethyl succinate  2-methyl-1-butanol  (Z)-3-hexenyl butanoate  isobutanol  butanol  2-hexenol
wintergreen;ethyl salicylate
wood;α-muurolene  cadina-1,4-dien-3-ol  isocaryophyllene  eudesmol  α-ionone  bornyl butyrate  (E)-α-bergamotene  linalool oxide  ethyl pyrazine  10-epi-γ-eudesmol  germacrene B  trans-sabinene hydrate  dihydrolinalool  isodihydrocarveol  β-farnesene  β-sesquiphellandrene  δ-elemene  α-calacorene  epoxy-β-ionone  germacrene D  bicyclogermacrene  alloaromadendrene  α-thujene  oxo-β-ionone  (-)-γ-elemene  γ-muurolene  sabinene  α-guaiene  α-copaene  γ-cadinene  nerolidol  β-eudesmol  α-cadinol  δ-cadinene  dill apiol  aromadendrene  α-gurjunene  guaiol  α-farnesene  γ-selinene  cuminic alcohol  perillen  elemol  α-humulene  β-caryophyllene  β-guaiene
yeast;ethyl valerate
